Image,IoU,Dice,Accuracy,Precision,Recall,F1
image_0,0.9749382734298706,0.9873101115226746,0.9969024658203125,0.9879894908044539,0.986631684157921,0.9873101206476215
image_1,0.9681510329246521,0.9838178157806396,0.9966278076171875,0.9866353355852548,0.9810163551401869,0.9838178223621586
image_2,0.9268755912780762,0.9620502591133118,0.997650146484375,0.975024975024975,0.9494163424124513,0.9620502710694923
image_3,0.3176575005054474,0.48215487599372864,0.9882659912109375,0.580226904376013,0.41244239631336405,0.4821548821548822
image_4,0.9131917357444763,0.9546265006065369,0.991455078125,0.9872632813809284,0.924078431372549,0.9546264786906499
image_5,0.7023392915725708,0.8251460790634155,0.975341796875,0.7368115942028985,0.9375461027784607,0.8251460722787275
image_6,0.9534753561019897,0.9761836528778076,0.9987335205078125,0.9792746113989638,0.9731121281464531,0.9761836441893831
image_7,0.9195803999900818,0.9581056237220764,0.99859619140625,0.9704797047970479,0.9460431654676259,0.9581056466302368
image_8,0.9599675536155701,0.9795749187469482,0.99774169921875,0.9712643678160919,0.9880289532293987,0.9795749378967706
image_9,0.942643404006958,0.9704749584197998,0.99859619140625,0.9698524695317511,0.9710982658959537,0.9704749679075737
image_10,0.9180790781974792,0.9572901129722595,0.9977874755859375,0.9409380428488708,0.9742206235011991,0.9572901325478644
image_11,0.9422743320465088,0.970279335975647,0.9979705810546875,0.9631765749778172,0.9774876181900045,0.9702793296089385
image_12,0.6711309552192688,0.8032057285308838,0.9966278076171875,0.803921568627451,0.802491103202847,0.8032056990204809
image_13,0.7398601174354553,0.8504823446273804,0.997161865234375,0.8905723905723906,0.8138461538461539,0.8504823151125402
image_14,0.9152759909629822,0.9557640552520752,0.998992919921875,0.9700680272108844,0.9418758256274768,0.9557640750670242
image_15,0.8882575631141663,0.9408224821090698,0.9990997314453125,0.9417670682730924,0.9398797595190381,0.9408224674022067
image_16,0.9034582376480103,0.949280858039856,0.9989776611328125,0.9428571428571428,0.9557926829268293,0.9492808478425435
image_17,0.8547717928886414,0.9217002391815186,0.99786376953125,0.9331823329558324,0.9104972375690608,0.9217002237136466
image_18,0.9678605198860168,0.98366779088974,0.9958648681640625,0.9872973626905396,0.9800648492854569,0.9836678117278371
image_19,0.7639170289039612,0.8661597967147827,0.9857635498046875,0.9469887076537014,0.7980438805181074,0.8661598049060393
image_20,0.9101294875144958,0.9529505372047424,0.998199462890625,0.9484126984126984,0.9575320512820513,0.9529505582137161
image_21,0.9683133959770203,0.9839016199111938,0.9980621337890625,0.982282966337636,0.9855256475368207,0.9839016351882367
image_22,0.9145907759666443,0.9553903341293335,0.99853515625,0.9799809342230696,0.9320036264732547,0.9553903345724908
image_23,0.9510505199432373,0.9749112129211426,0.9966583251953125,0.9752463900985561,0.9745762711864406,0.9749112154886012
image_24,0.9344016313552856,0.9660885334014893,0.996002197265625,0.9849564528899446,0.9479298958597917,0.9660885322288376
image_25,0.861328125,0.9254984259605408,0.9989166259765625,0.9402985074626866,0.9111570247933884,0.925498426023085
image_26,0.9232755303382874,0.9601073861122131,0.996826171875,0.9815686274509804,0.9395645645645646,0.9601074031453778
image_27,0.9200592041015625,0.9583654403686523,0.99505615234375,0.9800262812089356,0.9376414382700528,0.9583654587509637
image_28,0.9599189758300781,0.9795496463775635,0.9942626953125,0.9877152572118021,0.9715179631028158,0.9795496573479822
image_29,0.9636656641960144,0.9814966917037964,0.992431640625,0.9796693476318141,0.9833308416803708,0.9814966798477952
image_30,0.8652766346931458,0.9277729988098145,0.9974365234375,0.8786644951140065,0.982695810564663,0.9277730008598453
image_31,0.9138755798339844,0.9549999833106995,0.998626708984375,0.963673057517659,0.9464816650148662,0.955
image_32,0.731521725654602,0.8449466228485107,0.9962310791015625,0.8267813267813268,0.8639281129653402,0.844946641556811
image_33,0.8867286443710327,0.9399641752243042,0.997955322265625,0.9058721934369602,0.9767225325884544,0.9399641577060932
image_34,0.938960075378418,0.9685192108154297,0.9987640380859375,0.965143299767622,0.9719188767550702,0.9685192382432958
image_35,0.9736078977584839,0.9866275191307068,0.9959716796875,0.9896351996748298,0.9836380163619837,0.9866274946813899
image_36,0.959831178188324,0.9795039296150208,0.9954986572265625,0.9745610396792479,0.9844972067039106,0.9795039255193496
image_37,0.9668089151382446,0.9831243753433228,0.99786376953125,0.9805241644626113,0.9857384578196761,0.9831243972999035
image_38,0.9183596968650818,0.9574426412582397,0.9966888427734375,0.9550078247261345,0.9598898938261895,0.9574426358109432
image_39,0.9139364361763,0.9550332427024841,0.997314453125,0.9335664335664335,0.977510460251046,0.9550332141032193
image_40,0.9787625670433044,0.9892673492431641,0.99700927734375,0.9918743823432524,0.9866739486619334,0.9892673310699813
image_41,0.8471770882606506,0.9172667860984802,0.984222412109375,0.9662845583277141,0.8729820286323484,0.917266762682029
image_42,0.9410243034362793,0.9696162343025208,0.998260498046875,0.9737687366167024,0.9654989384288747,0.9696162046908315
image_43,0.5787559747695923,0.7331798076629639,0.9664154052734375,0.7366626065773447,0.7297297297297297,0.7331797793671959
image_44,0.9530011415481567,0.9759350419044495,0.9987335205078125,0.9762180974477959,0.9756521739130435,0.9759350536387359
image_45,0.9627237915992737,0.9810079336166382,0.9980621337890625,0.9838032393521295,0.9782284521324187,0.9810079258262299
image_46,0.9319007396697998,0.9647501111030579,0.9965667724609375,0.9585927770859277,0.9709870703248187,0.9647501174996083
image_47,0.5928571224212646,0.7443946003913879,0.9930419921875,0.70042194092827,0.7942583732057417,0.7443946188340808
image_48,0.9350797533988953,0.9664508700370789,0.998260498046875,0.9568764568764568,0.976218787158145,0.9664508534432019
image_49,0.9433363676071167,0.9708420634269714,0.9980926513671875,0.9710685954269715,0.9706156716417911,0.9708420807091206
image_50,0.79728764295578,0.8872120976448059,0.99566650390625,0.88300395256917,0.8914604948124502,0.8872120730738682
image_51,0.9064915180206299,0.9509525895118713,0.9981536865234375,0.9391513210568455,0.9630541871921182,0.9509525739764897
